Age Category,الفئة العمرية
Under 18,تحت 18
Above 60,فوق 60
Country Code,رمز الدولة
Nationality,الجنسية
Country of Residence,بلد الإقامة
Educational Level,المستوى التعليمي
Joining Request,طلب انتساب
Are You Reader Before Mishkah?,هل أنت قارئة قبل مشكاة؟
Yes,نعم
No,لا
Kind of,نوعا ما
How Did You Hear About Mishkah?,كيف تعرفت إلى مشكاة؟
From Friend,من صديقة
From Social Media,من مواقع التواصل
Other,آخر
"Do you have information about Mishkat, and what responsibilities you will have if you join the project?","هل لديكِ معلومات حول مشكاة ، و ما يترتَّب عليكِ من مسؤوليَّات حال انضمامك للمشروع ؟"
"Are you ready to give reading specific time and make it a priority in your day?","هل أنتِ مستعدَّة لإعطاء القراءة وقتًا مخصَّصًا ، و جعلها أولويَّة في يومك ؟"
"Do you pledge cooperation, commitment, and good manners?","هل تتعهَّدين بالتَّعاون و الالتزام و حسن الخلُق ؟"
Why do you want to join Mishkat?,ما سبب انضمامك لمشكاة ؟
Next,التالي
